,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Khandbari,30,NP,1578375683,55,27.38,87.21,45.55,6.02
374,Heinola,90,FI,1578375562,93,61.2,26.03,37.4,9.17
375,Moroni,75,GR,1578375686,87,35.09,24.92,48.2,38.03
376,Sabang,63,PH,1578375688,84,13.8,121.11,79.0,8.99
377,Viravanallur,40,IN,1578375690,79,8.7,77.53,84.2,10.29
378,Alyangula,75,AU,1578375691,74,-13.85,136.42,84.2,10.09
379,Caborca,0,MX,1578375692,85,30.58,-111.1,39.0,1.01
380,Richards Bay,80,ZA,1578375693,81,-28.77,32.06,78.03,14.07
381,Marzuq,7,YE,1578375694,60,14.4,46.47,65.5,2.86
382,Rincon,0,PA,1578375695,49,8.46,-82.28,66.99,1.99
383,Norrkoping,100,SE,1578375467,93,58.59,16.18,41.0,10.29
384,Dvinskoy,96,RU,1578375697,92,62.16,45.12,18.52,5.68
385,Arak,0,IR,1578375699,92,34.1,49.69,23.0,2.08
386,Ayacucho,82,PE,1578375700,89,-13.16,-74.23,46.11,0.81
387,Lardos,40,GR,1578375702,87,36.09,28.02,52.0,3.36
388,Mama,75,MX,1578375704,68,20.48,-89.36,71.01,8.05
389,Torbay,90,CA,1578375705,85,47.66,-52.73,25.0,3.36
390,Muli,75,CN,1578375708,73,28.08,109.56,52.93,4.61
391,Muskogee,1,US,1578375709,60,35.75,-95.37,42.01,8.05
392,Bogorodskoye,83,RU,1578375711,99,52.37,140.44,-1.26,3.4
393,Tocopilla,0,CL,1578375712,70,-22.09,-70.2,54.32,6.55
394,Hervey Bay,35,AU,1578375713,45,-25.3,152.85,87.01,14.99
395,Sorland,75,NO,1578375714,93,67.67,12.69,42.8,24.16
396,Mount Isa,40,AU,1578375716,19,-20.73,139.49,104.0,8.05
397,Oakdale,90,US,1578375717,93,37.77,-120.85,45.0,3.36
398,Saint-Louis,98,SN,1578375718,29,16.03,-16.5,60.8,4.7
399,Teguldet,100,RU,1578375719,93,57.31,88.17,13.26,7.45
400,Saint-Pierre,90,FR,1578375720,100,48.95,4.24,42.8,9.17
401,Tateyama,75,JP,1578375721,81,36.66,137.31,43.0,5.82
402,Magadi,40,IN,1578375722,73,12.96,77.22,81.0,10.29
403,Liloy,100,PH,1578375723,78,8.12,122.68,80.4,10.47
404,Shenkursk,92,RU,1578375725,93,62.11,42.91,21.36,8.93
405,Daru,84,PG,1578375726,67,-9.07,143.21,85.93,7.14
406,Petropavlovsk-Kamchatskiy,100,RU,1578375727,46,53.05,158.65,28.4,8.95
407,Shumikha,100,RU,1578375728,94,55.23,63.28,13.87,3.8
408,Kattivakkam,40,IN,1578375729,66,13.22,80.32,84.2,14.99
409,Tonantins,18,BR,1578375730,84,-2.86,-67.77,74.62,1.88
410,Bacolod,73,PH,1578375731,60,10.68,122.95,86.13,3.91
411,Ambulu,82,ID,1578375732,79,-8.35,113.61,81.95,10.56
412,Aswan,0,EG,1578375734,37,24.09,32.9,55.26,2.98
413,Nandaime,20,NI,1578375735,88,11.76,-86.05,75.2,6.93
414,Iralaya,5,HN,1578375736,77,15.0,-83.23,80.06,17.34
415,Ngunguru,93,NZ,1578375737,56,-35.62,174.5,64.99,15.99
416,Vyritsa,90,RU,1578375738,95,59.41,30.35,34.0,8.95
417,Bandarbeyla,47,SO,1578375739,80,9.49,50.81,78.91,18.88
418,Desna,0,UA,1578375740,100,50.92,30.77,25.0,4.47
419,Pudozh,97,RU,1578375741,98,61.81,36.54,32.45,5.75
420,Methoni,6,GR,1578375743,55,36.82,21.7,44.01,6.93
421,La Paz Centro,20,NI,1578375744,88,12.34,-86.68,75.2,6.93
422,Khash,0,IR,1578375745,51,28.22,61.21,49.75,12.46
423,Paamiut,63,GL,1578375530,75,61.99,-49.67,3.65,12.82
424,Svidnik,40,SK,1578375748,79,49.31,21.57,24.01,8.72
425,Sigli,3,ID,1578375749,73,5.38,95.96,80.94,10.2
426,Rioja,86,PE,1578375750,89,-6.06,-77.17,68.81,0.38
427,Chabahar,0,IR,1578375752,44,25.29,60.65,73.33,6.49
428,Esperance,0,AU,1578375607,7,-33.86,121.89,104.0,14.99
429,Bethanien,15,NA,1578375754,62,-26.5,17.16,66.83,3.36
430,Arlit,0,NE,1578375755,27,18.74,7.39,55.83,11.27
431,Ambilobe,10,MG,1578375757,64,-13.19,49.05,87.64,1.52
432,Adamas,75,GR,1578375758,81,36.73,24.43,46.4,39.15
433,Flinders,42,AU,1578375759,65,-34.58,150.85,82.99,12.75
434,Srednekolymsk,32,RU,1578375760,100,67.46,153.71,-22.41,1.1
435,Alta Floresta,96,BR,1578375762,97,-9.87,-56.08,71.15,2.75
436,Qinzhou,63,CN,1578375763,59,21.96,108.62,79.38,5.46
437,Sabha,0,LY,1578375764,71,27.03,14.43,40.08,8.88
438,Bhadra,100,IN,1578375765,62,29.1,75.17,59.99,12.64
439,Mumford,41,GH,1578375766,72,5.26,-0.76,70.32,2.84
440,Vanimo,83,PG,1578375767,77,-2.67,141.3,84.02,15.5
441,Bria,100,CF,1578375768,36,6.54,21.99,68.45,3.47
442,Nyimba,77,ZM,1578375769,89,-14.56,30.81,73.4,1.74
443,Xining,10,CN,1578375771,38,36.62,101.77,28.67,5.21
444,Cockburn Town,100,TC,1578375772,83,21.46,-71.14,76.64,15.88
445,Lukow,2,PL,1578375773,82,51.93,22.38,34.0,6.15
446,Turan,13,RU,1578375774,92,52.15,93.92,-0.63,1.79
447,Englewood,1,US,1578375689,22,39.65,-104.99,43.0,14.99
448,Port-Cartier,90,CA,1578375776,71,50.03,-66.88,5.0,12.75
449,Pilibanga,95,IN,1578375777,66,29.49,74.08,59.14,7.09
450,Tuatapere,97,NZ,1578375782,75,-46.13,167.69,55.0,13.0
451,Berlevag,100,NO,1578375783,74,70.86,29.09,30.2,19.46
452,Shubarkuduk,52,KZ,1578375784,89,49.15,56.49,13.93,3.09
453,Tignere,11,CM,1578375785,35,7.37,12.65,64.02,2.66
454,Sao Joao da Barra,100,BR,1578375786,89,-21.64,-41.05,77.09,12.19
455,Prince Rupert,1,CA,1578375788,92,54.32,-130.32,30.2,6.93
456,Dubno,75,UA,1578375789,86,50.42,25.75,28.4,6.71
457,Cervo,0,BR,1578375790,90,-22.19,-46.24,61.27,1.83
458,Repatriacion,100,PY,1578375791,92,-25.53,-55.95,71.62,3.6
459,Cururupu,100,BR,1578375792,97,-1.82,-44.87,73.9,1.88
460,Thompson,75,CA,1578375793,76,55.74,-97.86,-5.8,8.05
461,Lypnyazhka,0,UA,1578375794,85,48.45,31.08,25.77,6.31
462,Morrope,0,PE,1578375795,83,-6.54,-80.02,69.8,11.41
463,Anadyr,0,RU,1578375797,74,64.73,177.51,-22.0,4.47
464,Kysyl-Syr,100,RU,1578375799,96,63.9,122.77,12.11,2.33
465,Ilam,0,IR,1578375800,69,33.64,46.42,37.4,4.7
466,Cabo San Lucas,5,MX,1578375801,88,22.89,-109.91,69.01,4.7
467,Walvis Bay,90,NA,1578375803,82,-22.95,14.51,63.0,8.05
468,Kiunga,77,PG,1578375804,57,-6.12,141.3,91.47,3.53
469,Yulara,100,AU,1578375806,33,-25.24,130.99,91.4,4.7
470,Leszno,49,PL,1578375807,92,51.84,16.57,35.01,6.53
471,Am Timan,17,TD,1578375808,32,11.04,20.28,69.44,3.83
472,Pa Sang,20,TH,1578375809,51,18.53,98.94,91.99,3.36
473,Sambava,73,MG,1578375810,63,-14.27,50.17,86.23,1.41
474,Rolla,75,US,1578375811,54,37.95,-91.77,37.99,6.93
475,San Juan,0,AR,1578375812,23,-31.54,-68.53,75.49,2.44
476,Berekum,33,GH,1578375813,35,7.45,-2.58,66.76,1.99
477,Galeras,14,CO,1578375815,87,9.16,-75.05,73.2,1.45
478,Liwale,100,TZ,1578375816,90,-9.8,37.92,74.12,6.24
479,Ambatofinandrahana,78,MG,1578375817,78,-20.55,46.8,71.02,3.56
480,Agadez,0,NE,1578375818,43,16.97,7.99,55.4,4.7
481,Nago,17,IT,1578375819,100,45.88,10.89,34.0,3.36
482,Acapulco,5,MX,1578375822,83,16.86,-99.88,77.0,4.7
483,Bambanglipuro,89,ID,1578375823,71,-7.95,110.28,83.8,12.77
484,Nsukka,61,NG,1578375825,33,6.86,7.39,68.11,1.68
485,Wilmington,1,US,1578375826,55,39.75,-75.55,39.2,6.62
486,Tutoia,95,BR,1578375827,96,-2.76,-42.27,74.48,3.76
487,Tauranga,29,NZ,1578375828,53,-37.69,176.17,73.0,18.01
488,Severomuysk,18,RU,1578375829,75,56.17,113.57,3.74,2.39
489,Dunedin,7,NZ,1578375831,72,-45.87,170.5,52.23,19.62
490,Bereznik,93,RU,1578375832,96,62.86,42.71,21.51,5.39
491,Madang,0,CN,1578375835,49,35.32,102.79,28.36,4.7
492,Kindia,16,GN,1578375837,65,10.05,-12.86,62.15,0.38
493,Manokwari,100,ID,1578375838,97,-0.87,134.08,73.85,5.08
494,Yantzaza,6,EC,1578375839,91,-3.83,-78.76,55.13,4.85
495,Dillon,90,US,1578375840,68,45.22,-112.64,30.2,12.75
496,Sacavem,20,PT,1578375842,100,38.79,-9.11,46.0,2.24
497,Kiruna,75,SE,1578375843,100,67.86,20.23,24.8,5.68
498,Casa Nova,87,BR,1578375844,97,-16.03,-44.16,66.76,1.54
499,Port Hardy,90,CA,1578375845,86,50.7,-127.42,41.0,13.87
500,Male,0,UA,1578375846,87,50.74,33.7,21.99,2.01
501,Tezu,89,IN,1578375847,39,27.93,96.16,66.52,2.73
502,Kota Tinggi,75,MY,1578375848,74,1.73,103.9,86.0,8.05
503,Darhan,9,MN,1578375849,83,49.49,105.92,4.55,3.06
504,Glinka,89,RU,1578375851,97,54.64,32.87,24.12,6.69
505,Kuusamo,90,FI,1578375852,97,65.96,29.19,32.0,8.05
506,Sibut,0,CF,1578375853,36,5.73,19.09,70.3,2.59
507,Kem,23,UG,1578375854,44,2.68,33.77,80.19,8.81
508,Doha,0,QA,1578375855,59,25.29,51.53,66.2,10.29
509,Dzhankoy,100,UA,1578375856,95,45.71,34.39,33.84,12.39
510,Norman Wells,5,CA,1578375857,71,65.28,-126.83,-45.4,2.44
511,Khutar,97,IN,1578375858,55,28.2,80.28,63.0,4.23
512,Coari,70,BR,1578375860,76,-4.09,-63.14,77.92,2.91
513,Marsh Harbour,64,BS,1578375861,58,26.54,-77.06,69.75,9.57
514,Gayeri,0,BF,1578375862,32,12.65,0.49,63.82,7.65
515,Broken Hill,0,AU,1578375863,24,-31.97,141.45,93.2,16.11
516,Sapa,75,PH,1578375864,66,14.32,120.76,87.01,3.36
517,Zhezkazgan,90,KZ,1578375865,92,47.8,67.71,19.4,4.47
518,Alvorada,75,BR,1578375866,100,-30.0,-51.08,73.99,3.13
519,Kambarka,100,RU,1578375867,96,56.27,54.19,21.56,2.82
520,Verkhnevilyuysk,100,RU,1578375869,92,63.45,120.31,14.95,8.32
521,Nokaneng,64,BW,1578375871,83,-19.66,22.19,71.98,4.38
522,Kuna,90,US,1578375872,100,43.49,-116.42,39.0,6.93
523,Kosh-Agach,69,RU,1578375873,77,49.99,88.66,-2.67,1.39
524,Khani,100,GE,1578375874,39,41.96,42.96,50.0,24.16
525,Camacha,40,PT,1578375875,72,33.08,-16.33,62.6,12.75
526,Vagur,100,FO,1578375876,87,61.47,-6.81,46.35,48.38
527,Barranca,0,PE,1578375877,88,-10.75,-77.76,70.3,15.46
528,Kloulklubed,75,PW,1578375880,74,7.04,134.26,84.2,9.17
529,Grand-Santi,87,GF,1578375881,99,4.27,-54.38,68.49,1.25
530,Mukhen,17,RU,1578375882,91,48.19,136.14,12.94,2.3
531,Bulawayo,12,ZW,1578375883,50,-20.16,28.59,77.09,10.07
532,Springfield,90,US,1578375857,64,42.1,-72.59,35.01,11.41
533,Imeni Poliny Osipenko,17,RU,1578375886,93,52.42,136.49,-1.52,4.97
534,Lipnita,91,RO,1578375888,58,44.1,27.6,27.0,3.0
535,Puerto Leguizamo,16,CO,1578375889,77,-0.19,-74.78,74.5,3.18
536,Colon,90,PH,1578375890,70,10.22,123.75,84.2,5.82
537,Douentza,8,ML,1578375891,31,15.01,-2.95,50.95,3.04
538,Beloha,0,MG,1578375892,49,-25.17,45.06,86.65,6.44
539,Muros,20,ES,1578375894,100,42.77,-9.06,46.0,4.7
540,Barra do Garcas,100,BR,1578375895,97,-15.89,-52.26,70.99,3.27
541,Tra Vinh,69,VN,1578375896,49,9.93,106.35,89.24,12.88
542,Fassuta,20,IL,1578375898,66,33.05,35.31,54.0,12.75
